2.3826,-12.685
3.9352,-13.921
5.7901,-12.871
3.8185,-11.726
2.5205,-10.114
-5.0283,9.2161
-10.676,-1.4496
4.473,-12.396
-1.1201,-7.834
0.92621,-9.8867
0.9209,-8.9382
6.7997,-10.942
4.93,10.116
4.9954,10.225
-9.1915,-0.9365
1.5869,1.7057
-7.5958,-0.28293
0.067177,-9.5212
2.4629,1.1656
-4.4309,0.66343
-4.4318,-2.2627
3.4561,-2.4646
-2.8407,-1.628
-8.3751,-0.33009
4.7563,9.8201
5.902,-1.9917
-6.1631,-2.5602
0.19039,-4.0471
2.9899,-7.1137
-4.7334,-2.4165
5.4428,10.822
4.4172,8.9328
4.42,8.9815
4.4457,9.0459
-4.4676,-0.78604
1.3436,-8.2984
-5.4331,-1.7592
-8.087,-0.93483
-10.073,-0.051716
4.5737,9.3793
2.1258,2.0464
-4.4827,-0.80289
3.7776,8.2013
1.2834,0.89349
1.2858,1.0596
1.7708,1.7932
2.1624,-6.4299
3.0127,2.3619
5.0474,10.263
-3.8631,-0.28046
3.6344,7.985
-5.8584,-1.2782
2.841,-5.322
-5.5803,-2.2524
-9.4249,-0.15478
1.3873,1.2962
-5.0769,-2.3523
-4.6928,-0.84241
-3.1694,-0.59106
-1.3488,-2.3576
2.2383,0.50846
4.0726,-1.9324
-0.92449,1.3169
2.1943,0.62852
-2.6498,-1.7684
2.5905,-7.0148
3.8141,-2.0486
-2.8124,-1.0931
3.2606,7.5048
2.9543,-1.6178
-5.9576,0.077965
-0.41162,-1.2254
-8.329,-0.21972
2.7944,7.2149
-3.8398,0.57917
-2.7833,0.077608
3.3304,7.5646
-5.2707,-0.079943
-4.3919,1.5068
-3.7426,-0.28205
-6.4669,-2.3179
-3.8289,-0.28364
-4.9185,-1.7598
0.95719,-6.2669
1.2995,0.92501
3.024,6.6485
4.1949,8.633
-2.9145,-0.21878
-2.0142,-1.7176
-5.2046,-1.4438
-8.1993,-0.45755
-2.2419,-0.75664
-2.4683,0.30645
-5.0641,-0.42286
-3.8537,-0.96141
-0.94121,1.0939
-4.9993,-1.2923
4.0802,8.4416
3.7792,8.1495
-3.65,0.36843
3.0696,7.6855
2.4041,-1.4828
4.625,-1.9665
3.0042,6.8692
-5.0188,-2.1716
-2.6337,-1.2848
-5.6502,-0.11295
-5.3393,-0.20267
1.5323,-3.814
2.6534,6.0821
-4.9166,-2.6702
-3.5856,-1.4301
4.3165,8.861
-4.6414,-1.1336
-3.6413,0.51701
-5.8545,-1.2624
3.6823,8.0688
-5.0015,-1.4673
3.0035,6.8017
-1.3179,0.89929
-4.5739,0.66993
-7.2692,-0.0842
-5.2393,-0.89063
-3.059,-0.84548
-4.3488,-0.97836
2.8474,7.3797
-8.5138,-0.39302
3.1605,7.2743
-3.7007,0.35077
4.0123,-1.912
2.6015,-1.9343
-4.3682,-0.6296
1.89,-6.5208
3.2723,-1.8669
-8.552,-0.76424
-3.4984,-0.65504
2.4417,-1.5513
-7.7252,-2.0185
2.8785,7.6065
-1.0211,0.66418
-4.389,-0.11953
-5.4469,-1.241
-6.1761,-0.090307
-4.4018,-0.51157
1.5015,3.5857
-5.4272,-0.47447
2.1053,0.38203
2.1844,0.56785
-5.4834,-0.21152
-7.3457,-0.094515
-3.4627,0.34998
-3.5708,-0.8555
